text	integer	float	float	boolean
SystematicName	ControlType	gTotalGeneSignal	gTotalGeneError	gIsGeneDetected
hsa-miR-30c-1-3p	0	30.7935	3.16263	1
hsa-miR-30c-2-3p	0	21.1925	3.33315	1
hsa-miR-30c-5p	0	323.046	28.1772	1
hsa-miR-30d-3p	0	0.1	1	0
hsa-miR-30d-5p	0	517.391	36.975	1
hsa-miR-30e-3p	0	23.9084	3.50764	1
hsa-miR-30e-5p	0	1150.22	90.4105	1
hsa-miR-31-3p	0	0.1	1	0
hsa-miR-31-5p	0	18.5419	3.84329	1
hsa-miR-32-3p	0	205.393	10.744	1
hsa-miR-32-5p	0	106.005	6.71439	1
hsa-miR-320a	0	230.634	17.1786	1
hsa-miR-320b	0	287.349	22.5251	1
hsa-miR-320c	0	1963.49	139.395	1
hsa-miR-320d	0	491.199	35.2187	1
hsa-miR-323a-3p	0	0.1	1	0
hsa-miR-323a-5p	0	0.1	1	0
hsa-miR-323b-5p	0	0.1	1	0
hsa-miR-324-3p	0	248.565	18.0064	1
hsa-miR-324-5p	0	123.35	9.47258	1
hsa-miR-325	0	0.1	1	0
hsa-miR-326	0	0.1	1	0
hsa-miR-328	0	10.771	2.78214	1
hsa-miR-329	0	0.1	1	0
hsa-miR-330-3p	0	0.1	1	0
hsa-miR-330-5p	0	0.1	1	0
hsa-miR-331-3p	0	240.072	17.6655	1
hsa-miR-331-5p	0	0.1	1	0
hsa-miR-335-3p	0	0.1	1	0
hsa-miR-335-5p	0	32.5054	4.13631	1
hsa-miR-337-3p	0	0.1	1	0
hsa-miR-337-5p	0	0.1	1	0
hsa-miR-338-3p	0	0.1	1	0
hsa-miR-338-5p	0	12.0188	1.99717	1
hsa-miR-339-3p	0	4.79694	1.36287	1
hsa-miR-339-5p	0	0.1	1	0
hsa-miR-33a-3p	0	0.1	1	0
hsa-miR-33a-5p	0	27.7069	3.77234	1
hsa-miR-33b-3p	0	30.9407	3.04723	1
hsa-miR-33b-5p	0	0.1	1	0
hsa-miR-340-3p	0	0.1	1	0
hsa-miR-340-5p	0	0.1	1	0
hsa-miR-342-3p	0	5666.69	428.209	1
hsa-miR-342-5p	0	183.956	13.8403	1
hsa-miR-345-5p	0	7.95794	1.52092	1
hsa-miR-346	0	0.1	1	0
hsa-miR-34a-3p	0	0.1	1	0
hsa-miR-34a-5p	0	123.499	9.5477	1
hsa-miR-34b-3p	0	0.1	1	0
hsa-miR-34b-5p	0	10.0868	2.749	1
hsa-miR-34c-3p	0	0.1	1	0
hsa-miR-34c-5p	0	0.1	1	0
hsa-miR-361-3p	0	129.185	10.5798	1
hsa-miR-361-5p	0	134.664	10.9712	1
hsa-miR-362-3p	0	34.3126	4.42827	1
hsa-miR-362-5p	0	0.1	1	0
hsa-miR-363-3p	0	1104.56	78.5829	1
hsa-miR-363-5p	0	0.1	1	0
hsa-miR-365a-3p	0	102.242	8.08887	1
hsa-miR-367-3p	0	0.1	1	0
hsa-miR-367-5p	0	0.1	1	0
hsa-miR-369-3p	0	0.1	1	0
hsa-miR-369-5p	0	0.1	1	0
hsa-miR-370	0	12.2033	2.83188	1
hsa-miR-371a-3p	0	0.1	1	0
hsa-miR-371a-5p	0	270.879	16.8897	1
hsa-miR-372	0	0.1	1	0
hsa-miR-373-3p	0	0.1	1	0
hsa-miR-373-5p	0	18.3801	3.14856	1
hsa-miR-374a-3p	0	0.1	1	0
hsa-miR-374a-5p	0	331.077	23.8223	1
hsa-miR-374b-3p	0	0.1	1	0
hsa-miR-374b-5p	0	134.889	10.274	1
hsa-miR-375	0	0.1	1	0
hsa-miR-376a-3p	0	0.1	1	0
hsa-miR-376a-5p	0	0.1	1	0
hsa-miR-376b	0	0.1	1	0
hsa-miR-376c	0	0.1	1	0
hsa-miR-377-3p	0	0.1	1	0
hsa-miR-377-5p	0	0.1	1	0
hsa-miR-378_v17.0	0	76.6114	6.75752	1
hsa-miR-378a-5p	0	0.1	1	0
hsa-miR-379-3p	0	0.1	1	0
hsa-miR-379-5p	0	0.1	1	0
hsa-miR-380-3p	0	0.1	1	0
hsa-miR-380-5p	0	0.1	1	0
hsa-miR-381	0	0.1	1	0
hsa-miR-382-5p	0	29.785	4.23276	1
hsa-miR-383	0	13.5254	2.46198	1
hsa-miR-384	0	0.1	1	0
hsa-miR-409-3p	0	0.1	1	0
hsa-miR-409-5p	0	0.1	1	0
hsa-miR-410	0	0.1	1	0
hsa-miR-411-3p	0	0.1	1	0
hsa-miR-411-5p	0	0.1	1	0
hsa-miR-412	0	0.1	1	0
hsa-miR-421	0	0.1	1	0
hsa-miR-422a	0	79.4955	4.78796	1
hsa-miR-423-3p	0	19.8403	2.29215	1
hsa-miR-423-5p	0	315.531	23.6591	1
hsa-miR-424-3p	0	12.5403	2.85316	1
hsa-miR-424-5p	0	839.94	65.1471	1
hsa-miR-425-3p	0	28.2191	4.14391	1
hsa-miR-425-5p	0	229.542	18.1537	1
hsa-miR-429	0	0.1	1	0
hsa-miR-431-3p	0	0.1	1	0
hsa-miR-431-5p	0	0.1	1	0
hsa-miR-432-3p	0	0.1	1	0
hsa-miR-432-5p	0	23.9316	4.0085	1
hsa-miR-433	0	0.1	1	0
hsa-miR-448	0	0.1	1	0
hsa-miR-449a	0	0.1	1	0
hsa-miR-449b-5p	0	11.3942	2.62428	1
hsa-miR-450a-5p	0	22.6708	3.95887	1
hsa-miR-450b-3p	0	0.1	1	0
hsa-miR-450b-5p	0	0.1	1	0
hsa-miR-451a	0	29.8537	4.19984	1
hsa-miR-452-3p	0	0.1	1	0
